,epoch,acc,time
0,1,0.37282608757200447,18.377514573
1,2,0.47094202932456264,14.300792496
2,3,0.5472826102505559,14.307024370999997
3,4,0.5966666680963143,14.231259891999997
4,5,0.6253260881032633,14.245412052000006
5,6,0.6583695667593376,14.247866031000001
6,7,0.6574637705217237,14.044169440000005
7,8,0.6890942052654598,14.24209123
8,9,0.7022463782973911,14.337259173000007
9,10,0.7014492769604144,14.208391292000016
10,11,0.7023188394048939,14.323271210000001
11,12,0.7228260876043983,14.26366693700001
12,13,0.7398550763078358,14.281959331999985
13,14,0.7382971022440039,14.205786036999996
14,15,0.7468478290931039,14.256835650999989
15,16,0.7522826110539229,14.251080774999991
16,17,0.7677536218062692,14.309374063000007
17,18,0.7793115941078766,14.34925978999999
18,19,0.8002898505200511,14.367029824000042
19,20,0.793297097734783,14.085233211000002
