,epoch,acc,time
0,1,0.33641304367262387,15.969411852
1,2,0.44554347787862236,11.591967261999997
2,3,0.5360507232987363,11.637297591
3,4,0.5224637648333674,11.574640003999995
4,5,0.5824275356919869,11.66982223099999
5,6,0.6069202876609304,11.729787427000005
6,7,0.630000000414641,11.627059887999991
7,8,0.64974637783092,11.549816705999987
8,9,0.6416304354434428,11.511513655000002
9,10,0.6693840596986853,11.70001370300001
10,11,0.6593478302592817,11.528620217000025
11,12,0.6646376789911933,11.539366148
12,13,0.6662318858763446,11.506260391000012
13,14,0.6898550715135492,11.69724892100001
14,15,0.6976449256357939,11.722986625999994
15,16,0.7044565191735392,11.647070806000016
16,17,0.7006521727079931,11.602826389
17,18,0.7288043479556623,11.715116734999981
18,19,0.7343115926436756,11.680630790999999
19,20,0.7282246364199597,11.613119235
