,epoch,acc,time
0,1,0.30184782474585203,17.767575184000002
1,2,0.4572463761205259,13.469599643000002
2,3,0.5436231882675834,13.374092017000002
3,4,0.5868115966086802,13.566238745999996
4,5,0.6157971011555713,13.536460837999996
5,6,0.6333695656579473,13.499854890999998
6,7,0.653985507786274,13.405777422
7,8,0.6766666705193727,13.321611615999998
8,9,0.6873913005642269,13.385863616999998
9,10,0.688369566331739,13.427597974000008
10,11,0.6959057955638223,13.406759685999987
11,12,0.7178985528323961,13.373712568999991
12,13,0.7243478256075279,13.372523368000003
13,14,0.7405072486271029,13.679624035999979
14,15,0.7529347836971283,13.394370742999996
15,16,0.7624637678913448,13.396471228999985
16,17,0.7734057981034984,13.453261155000007
17,18,0.7798550692589387,13.465823322000006
18,19,0.8069565224906673,13.393866889000037
19,20,0.8017753615327503,13.355548443000032
