,epoch,acc,time
0,1,0.22449275446326836,18.504826653
1,2,0.27641304290812946,14.283347768000002
2,3,0.3681159416294616,14.365978979999994
3,4,0.4125724638933721,14.374819422999998
4,5,0.45684782707172894,14.345488333999995
5,6,0.5256521740685338,14.422593555999995
6,7,0.5632608665720277,14.399822602
7,8,0.5725362317069717,14.322278615999991
8,9,0.5933695642844491,14.326022669000011
9,10,0.6048550715912944,14.399460422999994
10,11,0.6044202916648077,14.081778157000002
11,12,0.6117753626211829,14.227245287000017
12,13,0.6341666666709859,14.246081529999998
13,14,0.6459782599754955,14.343351205000005
14,15,0.6529710137325785,14.336600514999986
15,16,0.6733695670314457,14.42347848899999
16,17,0.670652172487715,14.222469531000002
17,18,0.6846739118513854,14.235612163000013
18,19,0.6867753623620324,14.225334362999945
19,20,0.6968840567961984,14.352419885000018
