,epoch,acc,time
0,1,0.37105072435477504,18.222940790999985
1,2,0.43347825952198193,14.600532807000036
2,3,0.5027898537076038,14.52450873700002
3,4,0.5718840567961984,14.37848857299997
4,5,0.6133333327977554,14.485901316000025
5,6,0.6447101455667744,14.248947715999975
6,7,0.6605797102269919,14.204154033999998
7,8,0.6721014480875886,14.240550251999991
8,9,0.6908695639475532,14.17218833100003
9,10,0.7000000000647877,14.214468401999966
10,11,0.7014492750167847,14.137131873999977
11,12,0.7277173892311428,14.202482327999974
12,13,0.7265579700469971,14.068619650999949
13,14,0.7507608675438425,14.16829274600002
14,15,0.7603985479344493,14.196861929999955
15,16,0.7666304357673811,14.171285100999967
16,17,0.7754347829715066,14.378705999999966
17,18,0.8161594193914662,14.535651054000027
18,19,0.8152536199144695,14.044727480999995
19,20,0.8302173919003942,14.120729032999975
