,epoch,acc,time
0,1,0.34750000112082646,17.625593853999995
1,2,0.4736231899131899,14.037228803000005
2,3,0.543188405101714,14.498259796
3,4,0.6015579703709354,14.38612557799999
4,5,0.6409782628002374,14.144931311999997
5,6,0.6649637685521789,14.215104462999989
6,7,0.6820289855417998,14.146837883999979
7,8,0.7004347803152126,14.158309145000004
8,9,0.6922101439989131,14.15674593700001
9,10,0.7104710168812586,14.250383260000007
10,11,0.7313043468672297,14.237012252
11,12,0.734239131860111,14.210060680999987
12,13,0.7362318848786147,14.145532453999976
13,14,0.7567391291908596,14.138195182000004
14,15,0.7571014483337817,14.167356568999963
15,16,0.7636594205446865,14.22363218199996
16,17,0.7864855080842972,14.081108122000046
17,18,0.7814492745243985,14.034915114
18,19,0.7983333312946818,14.082378773999949
19,20,0.820072463673094,14.13179117499999
