,epoch,acc,time
0,1,0.288260869519866,17.863591559
1,2,0.35789855099890544,13.757843972
2,3,0.3982608698956344,13.911878765000004
3,4,0.43735507130622864,13.777718254000007
4,5,0.47474637449435564,13.700497931000001
5,6,0.5129347835545954,13.835801281000002
6,7,0.5619927528111831,13.813983667000002
7,8,0.5739492744855259,13.741664354000008
8,9,0.5937318827794946,13.829218053999995
9,10,0.5970652200605558,13.971854196999999
10,11,0.6260144927579424,13.856791224000006
11,12,0.633297099367432,13.840397808999995
12,13,0.6342753628673761,13.863891908
13,14,0.6377898551847624,13.767010103000018
14,15,0.6490579704227655,13.709671301000014
15,16,0.6524637684873913,13.625690356000007
16,17,0.6533333312558092,13.717785980000002
17,18,0.6775362342596054,13.882919131000023
18,19,0.6821376801184986,13.727516126000012
19,20,0.6705434746716333,13.675231817999986
